holiday_type,time,cardtype0_weight,cardtype1_weight,cardtype2_weight,cardtype3_weight,cardtype4_weight,cardtype5_weight,cardtype6_weight
0,0,0.0,0.0117439100349,0.0487686677326,0.902002791568,0.00641144927589,0.0,0.0310731813881
0,1,0.0,0.0263281612964,0.0457337993115,0.88197398209,0.00169199503577,5.4860653939e-05,0.0442172016128
0,2,0.0,0.00931306448599,0.0354179313197,0.818711246259,0.00486425159857,0.0,0.131693506336
0,3,0.0,0.00752661807367,0.0546345482014,0.76457616382,0.00336119327405,0.000293427230047,0.169608049401
0,4,0.0,0.00607481337338,0.0563914765204,0.823498115592,0.00302128139933,0.0,0.111014313115
0,5,0.0,0.0139011679046,0.031754445968,0.644064645831,0.00784842073084,0.000105218855219,0.30232610071
0,6,0.0,0.00828035972861,0.212422944413,0.53198099705,0.00963912876989,9.16094294201e-05,0.237584960609
0,7,0.0,0.00801122047959,0.0941005149409,0.70874583852,0.00661684041151,0.000170651741944,0.182354933906
0,8,0.0,0.0063509559882,0.0297608459325,0.726484255772,0.00653140323523,0.000188472319686,0.230684066752
0,9,0.0,0.00641306506317,0.021794971559,0.605515060358,0.00875141595567,0.000162993658746,0.357362493405
0,10,0.0,0.00715588268058,0.0202808882404,0.565775764274,0.00942655514204,0.000147676334657,0.397213233328
0,11,5.14138817481e-06,0.00830272086739,0.0326643443455,0.600321863624,0.0103109334623,0.00031272098725,0.348082275325
0,12,0.0,0.00984076966675,0.0567528061177,0.670794768269,0.00877359246444,0.000209099237412,0.253628964244
0,13,0.0,0.0103457137516,0.0453596934837,0.678270855261,0.00919082090717,0.000171134336983,0.25666178226
0,14,0.0,0.00986053127909,0.0344439998299,0.701547993119,0.00955587735774,0.00013220767647,0.244459390738
0,15,0.0,0.00889338572616,0.0598569303272,0.69533925195,0.00919959699141,0.000135471290072,0.226575363715
0,16,0.0,0.0103406511528,0.0966623021631,0.699864077745,0.00916959099325,0.000197692452758,0.183765685493
0,17,0.0,0.00969240599546,0.106450751698,0.778064725931,0.0072205042772,0.000274527397141,0.0982970847015
0,18,0.0,0.0068360076526,0.0878495660617,0.85173201207,0.0042432742373,0.000123194790761,0.0492159451877
0,19,0.0,0.0175631895464,0.0584678199237,0.842776598754,0.00495912384013,0.00013332205424,0.0760999458812
0,20,0.0,0.0104045087179,0.0598334891783,0.828622796189,0.0056291144243,0.000105856515184,0.0954042349754
0,21,0.0,0.0102885454079,0.0916618710493,0.834519746778,0.00509531405117,0.000189393474582,0.0582451292387
0,22,0.0,0.0108086537386,0.0562521370003,0.89788260227,0.00467712049796,0.000105426414965,0.0302740600782
0,23,0.0,0.0135890490797,0.0509242437557,0.904702962,0.00681973765863,0.000102124183007,0.0238618833229
1,0,0.0,0.00993217947931,0.0609952137205,0.899268410551,0.00607986662354,0.0,0.0237243296259
1,1,0.0,0.00712972810338,0.0755354501644,0.897593862584,0.00188258935258,0.0,0.0178583697958
1,2,0.0,0.00238775642966,0.0605921404267,0.780734108837,0.00674919706986,0.00032393909945,0.149212858137
1,3,0.0,0.0186849574267,0.0787061275632,0.801707383045,0.0118369599495,0.0,0.0890645720156
1,4,0.0,0.00757025216472,0.0365622887587,0.84482137786,0.00311593168736,0.0,0.107930149529
1,5,0.0,0.0176233321277,0.0232517787883,0.654610099983,0.00536973082649,6.31313131314e-05,0.299081926961
1,6,0.0,0.0107564931568,0.0470731347195,0.564131444577,0.00997333454004,7.87206290749e-05,0.367986872377
1,7,0.0,0.00779956659147,0.0510966826543,0.628475935333,0.00793837031775,0.000116309954075,0.304573135149
1,8,0.0,0.00599914195983,0.0514155728847,0.639221787659,0.00734572690954,7.07942837917e-05,0.295946976303
1,9,0.0,0.00566369364619,0.0484384342784,0.609051779548,0.00845020549213,0.000113295548615,0.328282591486
1,10,0.0,0.00583744245581,0.0550232691055,0.615415652728,0.00895747769565,0.000175576808764,0.314590581206
1,11,0.0,0.00685916372007,0.0688353550699,0.652531986361,0.00782295322183,0.000440611732971,0.263509929894
1,12,0.0,0.00884663337081,0.0870658166014,0.704561764996,0.00703337961232,0.000115380823477,0.192377024596
1,13,0.0,0.00893402219229,0.0835398143432,0.707452038438,0.00830739994741,0.000108503309441,0.19165822177
1,14,0.0,0.00866302789205,0.0781411859423,0.725058605439,0.00817284102803,0.000124603607923,0.17983973609
1,15,0.0,0.00824835009202,0.0833951325965,0.731117362657,0.00838349335008,0.000151452840799,0.168704208464
1,16,0.0,0.00862593928537,0.100391079605,0.732849170836,0.00803625431775,0.000129518341587,0.149968037615
1,17,0.0,0.00837556541032,0.0985416627156,0.765813526648,0.00651423762871,0.000145900658424,0.120609106939
1,18,0.0,0.00679816818561,0.0943297176813,0.82174319264,0.00507187279855,0.000112020041206,0.0719450286538
1,19,0.0,0.0073529965067,0.0759516105055,0.815555443696,0.00590738040649,0.000157375991688,0.0950751928939
1,20,0.0,0.00923583163277,0.0757453509063,0.80067561187,0.00631362094809,0.000245591917242,0.107783992726
1,21,0.0,0.00966516068262,0.0761853403707,0.837883113502,0.0051688882446,0.000104701647449,0.070992795553
