date,time,cardtype0_weight,cardtype1_weight,cardtype2_weight,cardtype3_weight,cardtype4_weight,cardtype5_weight,cardtype6_weight
2014/9/12,8,0.0,0.0069109947644,0.0326701570681,0.790785340314,0.00565445026178,0.000418848167539,0.163560209424
2014/9/17,8,0.0,0.0072217502124,0.0235768903993,0.803101104503,0.00658453695837,0.000424808836024,0.159090909091
2014/9/15,8,0.0,0.00578654093442,0.0259322760394,0.811615945135,0.00557222460351,0.000857265323618,0.150235747964
2014/8/25,8,0.0,0.00843790566854,0.0486802250108,0.785807009952,0.0060579835569,0.000216356555604,0.150800519256
2014/11/24,8,0.0,0.00762195121951,0.0213414634146,0.80618466899,0.00479094076655,0.0,0.16006097561
2014/9/3,8,0.0,0.0048182216382,0.0260621988611,0.807271134472,0.00766535260622,0.000876040297854,0.153307052124
2014/9/10,8,0.0,0.00425913472316,0.0289172831204,0.793319883434,0.00874243443174,0.000896659941717,0.163864604349
2014/9/16,7,0.0,0.00790781744239,0.100542250339,0.784681427926,0.00429281518301,0.000451875282422,0.102123813827
2014/8/28,8,0.0,0.00564844103028,0.0390872119295,0.812245820154,0.00474469046543,0.0,0.138273836421
2014/9/15,7,0.0,0.0085933966531,0.0922659430122,0.772727272727,0.00497512437811,0.0,0.121438263229
2014/8/4,8,0.0,0.0067842605156,0.0463591135233,0.824513794663,0.00565355042967,0.000452284034374,0.116236996834
2014/9/5,8,0.0,0.00388927018989,0.0251658659346,0.817204301075,0.00388927018989,0.000228780599405,0.149622512011
2014/9/26,8,0.0,0.00549324788281,0.0288395513848,0.822613870451,0.00595101853971,0.000686655985351,0.136415655756
2014/9/16,8,0.0,0.00551724137931,0.0294252873563,0.824367816092,0.00275862068966,0.000459770114943,0.137471264368
2014/9/22,8,0.0,0.00437183617119,0.0264611136677,0.826046939715,0.00529222273355,0.000690289921767,0.137137597791
2014/11/19,8,0.0,0.00690289921767,0.0250805338242,0.802807179015,0.00460193281178,0.000460193281178,0.16014726185
2014/8/19,8,0.0,0.00623412606788,0.0392519048719,0.830293234819,0.00507965827753,0.00023089355807,0.118910182406
