2014/8/1,00,7
2014/8/1,01,4
2014/8/1,04,1
2014/8/1,05,12
2014/8/1,06,57
2014/8/1,07,77
2014/8/1,08,83
2014/8/1,09,84
2014/8/1,10,78
2014/8/1,11,67
2014/8/1,12,63
2014/8/1,13,62
2014/8/1,14,64
2014/8/1,15,73
2014/8/1,16,79
2014/8/1,17,83
2014/8/1,18,83
2014/8/1,19,79
2014/8/1,20,61
2014/8/1,21,58
2014/8/1,22,37
2014/8/1,23,7
2014/8/2,00,5
2014/8/2,01,2
2014/8/2,02,1
2014/8/2,03,1
2014/8/2,04,1
2014/8/2,05,11
2014/8/2,06,42
2014/8/2,07,57
2014/8/2,08,64
2014/8/2,09,73
2014/8/2,10,75
2014/8/2,11,73
2014/8/2,12,77
2014/8/2,13,81
2014/8/2,14,77
2014/8/2,15,80
2014/8/2,16,74
2014/8/2,17,69
2014/8/2,18,64
2014/8/2,19,60
2014/8/2,20,60
2014/8/2,21,55
2014/8/2,22,37
2014/8/2,23,8
2014/8/3,00,6
2014/8/3,01,3
2014/8/3,05,7
2014/8/3,06,39
2014/8/3,07,58
2014/8/3,08,61
2014/8/3,09,72
2014/8/3,10,73
2014/8/3,11,71
2014/8/3,12,72
2014/8/3,13,73
2014/8/3,14,70
2014/8/3,15,71
2014/8/3,16,69
2014/8/3,17,66
2014/8/3,18,61
2014/8/3,19,59
2014/8/3,20,57
2014/8/3,21,51
2014/8/3,22,37
2014/8/3,23,8
2014/8/4,00,6
2014/8/4,01,3
2014/8/4,05,8
2014/8/4,06,54
2014/8/4,07,83
2014/8/4,08,85
2014/8/4,09,83
2014/8/4,10,82
2014/8/4,11,77
2014/8/4,12,69
2014/8/4,13,70
2014/8/4,14,68
2014/8/4,15,78
2014/8/4,16,83
2014/8/4,17,84
2014/8/4,18,81
2014/8/4,19,75
2014/8/4,20,61
2014/8/4,21,56
2014/8/4,22,36
2014/8/4,23,10
2014/8/5,00,6
2014/8/5,01,2
2014/8/5,04,1
2014/8/5,05,8
2014/8/5,06,51
2014/8/5,07,81
2014/8/5,08,84
2014/8/5,09,82
2014/8/5,10,76
2014/8/5,11,69
2014/8/5,12,62
2014/8/5,13,63
2014/8/5,14,65
2014/8/5,15,77
2014/8/5,16,80
2014/8/5,17,80
2014/8/5,18,80
2014/8/5,19,71
2014/8/5,20,52
2014/8/5,21,45
2014/8/5,22,32
2014/8/5,23,9
2014/8/6,00,8
2014/8/6,01,1
2014/8/6,04,1
2014/8/6,05,12
2014/8/6,06,48
2014/8/6,07,74
2014/8/6,08,80
2014/8/6,09,79
2014/8/6,10,75
2014/8/6,11,67
2014/8/6,12,62
2014/8/6,13,66
2014/8/6,14,69
2014/8/6,15,75
2014/8/6,16,75
2014/8/6,17,81
2014/8/6,18,78
2014/8/6,19,71
2014/8/6,20,58
2014/8/6,21,49
2014/8/6,22,32
2014/8/6,23,7
2014/8/7,00,6
2014/8/7,01,3
2014/8/7,05,10
2014/8/7,06,49
2014/8/7,07,76
2014/8/7,08,78
2014/8/7,09,79
2014/8/7,10,73
2014/8/7,11,62
2014/8/7,12,59
2014/8/7,13,58
2014/8/7,14,60
2014/8/7,15,70
2014/8/7,16,75
2014/8/7,17,76
2014/8/7,18,77
2014/8/7,19,70
2014/8/7,20,57
2014/8/7,21,50
2014/8/7,22,33
2014/8/7,23,6
2014/8/8,00,6
2014/8/8,01,2
2014/8/8,02,1
2014/8/8,03,2
2014/8/8,04,2
2014/8/8,05,11
