0,0,4
0,1,2
0,2,2
0,3,2
0,4,2
0,5,15
0,6,45
0,7,65
0,8,68
0,9,67
0,10,64
0,11,56
0,12,53
0,13,53
0,14,54
0,15,63
0,16,69
0,17,69
0,18,69
0,19,59
0,20,48
0,21,39
0,22,24
0,23,6
1,0,4
1,1,2
1,2,1
1,3,1
1,4,1
1,5,14
1,6,37
1,7,47
1,8,52
1,9,58
1,10,60
1,11,59
1,12,59
1,13,60
1,14,60
1,15,62
1,16,58
1,17,53
1,18,51
1,19,48
1,20,44
1,21,38
1,22,24
1,23,5
2,0,4
2,1,2
2,4,1
2,5,14
2,6,35
2,7,51
2,8,60
2,9,63
2,10,61
2,11,61
2,12,60
2,13,64
2,14,64
2,15,67
2,16,62
2,17,59
2,18,57
2,19,50
2,20,45
2,21,37
2,22,27
2,23,10
