0,0,7
0,1,2
0,2,2
0,3,2
0,4,2
0,5,10
0,6,52
0,7,81
0,8,83
0,9,82
0,10,78
0,11,70
0,12,64
0,13,64
0,14,65
0,15,77
0,16,83
0,17,83
0,18,83
0,19,71
0,20,57
0,21,48
0,22,32
0,23,9
1,0,7
1,1,2
1,2,2
1,3,2
1,4,2
1,5,10
1,6,40
1,7,58
1,8,68
1,9,75
1,10,76
1,11,74
1,12,75
1,13,77
1,14,75
1,15,76
1,16,73
1,17,67
1,18,63
1,19,60
1,20,55
1,21,49
1,22,32
1,23,8
2,0,12
2,1,4
2,2,3
2,3,7
2,4,2
2,5,12
2,6,38
2,7,61
2,8,72
2,9,77
2,10,77
2,11,76
2,12,76
2,13,80
2,14,80
2,15,81
2,16,76
2,17,70
2,18,67
2,19,63
2,20,57
2,21,55
2,22,47
2,23,22
