20150101,6,331,线路6
20150101,7,1285,线路6
20150101,8,2112,线路6
20150101,9,1996,线路6
20150101,10,1889,线路6
20150101,11,1732,线路6
20150101,12,1725,线路6
20150101,13,1935,线路6
20150101,14,1941,线路6
20150101,15,1948,线路6
20150101,16,1852,线路6
20150101,17,1774,线路6
20150101,18,1637,线路6
20150101,19,1352,线路6
20150101,20,1325,线路6
20150101,21,943,线路6
20150102,6,677,线路6
20150103,6,661,线路6
20150102,7,1481,线路6
20150103,7,1505,线路6
20150102,8,2067,线路6
20150103,8,2163,线路6
20150102,9,2264,线路6
20150103,9,2309,线路6
20150102,10,1957,线路6
20150103,10,1969,线路6
20150102,11,1863,线路6
20150103,11,1921,线路6
20150102,12,1927,线路6
20150103,12,1980,线路6
20150102,13,2098,线路6
20150103,13,2106,线路6
20150102,14,2112,线路6
20150103,14,2121,线路6
20150102,15,2068,线路6
20150103,15,2054,线路6
20150102,16,2106,线路6
20150103,16,2160,线路6
20150102,17,2162,线路6
20150103,17,2265,线路6
20150102,18,2038,线路6
20150103,18,2141,线路6
20150102,19,1583,线路6
20150103,19,1588,线路6
20150102,20,1439,线路6
20150103,20,1429,线路6
20150102,21,1104,线路6
20150103,21,1094,线路6
20150104,6,1331,线路6
20150105,6,1358,线路6
20150106,6,1309,线路6
20150107,6,1273,线路6
20150104,7,3419,线路6
20150105,7,3451,线路6
20150106,7,3386,线路6
20150107,7,3381,线路6
20150104,8,3849,线路6
20150105,8,3892,线路6
20150106,8,3868,线路6
20150107,8,3911,线路6
20150104,9,2453,线路6
20150105,9,2470,线路6
20150106,9,2474,线路6
20150107,9,2500,线路6
20150104,10,1938,线路6
20150105,10,1899,线路6
20150106,10,1900,线路6
20150107,10,1940,线路6
20150104,11,1722,线路6
20150105,11,1641,线路6
20150106,11,1622,线路6
20150107,11,1668,线路6
20150104,12,1636,线路6
20150105,12,1546,线路6
20150106,12,1518,线路6
20150107,12,1598,线路6
20150104,13,1707,线路6
20150105,13,1626,线路6
20150106,13,1616,线路6
20150107,13,1703,线路6
20150104,14,1885,线路6
20150105,14,1783,线路6
20150106,14,1803,线路6
20150107,14,1870,线路6
20150104,15,1888,线路6
20150105,15,1905,线路6
20150106,15,1892,线路6
20150107,15,1949,线路6
20150104,16,2220,线路6
20150105,16,2235,线路6
20150106,16,2227,线路6
20150107,16,2274,线路6
20150104,17,3110,线路6
20150105,17,3125,线路6
20150106,17,3104,线路6
20150107,17,3149,线路6
20150104,18,2869,线路6
20150105,18,2932,线路6
20150106,18,2921,线路6
20150107,18,2961,线路6
20150104,19,1656,线路6
20150105,19,1661,线路6
20150106,19,1682,线路6
20150107,19,1706,线路6
20150104,20,1328,线路6
20150105,20,1277,线路6
20150106,20,1269,线路6
20150107,20,1309,线路6
20150104,21,1112,线路6
20150105,21,1041,线路6
20150106,21,1080,线路6
20150107,21,1078,线路6
